Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.2569,47975.499999999985,47498.03571428571,48181.32142857142,47353.642857142855,47494.21428571428,34162.0,13222.5,6778.5,4678.5,4066.5
0.2608,47038.428571428565,48795.39285714285,48329.57142857142,47773.60714285714,47711.07142857142,34645.5,13368.0,7049.0,5075.5,4480.0
0.2647,47314.464285714275,49089.53571428571,48503.928571428565,48247.678571428565,47982.24999999999,35065.0,14318.5,8192.5,5992.5,5361.5
0.2686,48698.07142857142,49438.178571428565,49717.428571428565,49210.28571428571,48552.74999999999,34905.5,15477.0,9279.0,7441.5,6803.5
0.2725,50086.964285714275,51071.392857142855,50372.07142857142,50432.678571428565,49315.142857142855,36780.0,18254.5,12256.5,10332.5,9767.0
0.2765,53033.35714285713,53448.142857142855,52996.03571428571,52470.60714285713,51832.964285714275,42409.5,23159.0,17537.0,15691.0,14971.5
0.2804,59358.428571428565,58520.57142857142,57809.249999999985,57251.428571428565,56155.53571428571,50588.0,31883.0,25884.5,24257.5,23477.5
0.2843,75329.03571428571,73770.71428571428,72871.39285714284,71787.35714285713,70095.78571428571,59429.0,40715.0,35504.5,33018.0,32381.0
0.2882,110612.85714285713,110508.67857142855,109402.57142857142,106785.82142857142,105476.78571428571,60780.0,43069.0,37013.5,34549.0,33375.0
0.2922,160958.28571428568,160334.42857142855,156829.49999999997,153340.74999999997,146504.74999999997,53731.0,35499.5,29970.5,27540.5,26801.5
0.2961,186157.10714285713,184947.96428571426,181412.32142857142,177071.82142857142,167834.82142857142,46692.0,28619.0,23710.0,20550.5,19587.5
0.2941,178935.82142857142,177629.39285714284,175130.64285714284,170020.10714285713,162218.14285714284,51336.5,32084.0,25851.5,24054.0,21976.5
